stationid,neighborhood,boro,zipcode,station name,latitude,longitude
3508,Harlem,Manhattan,10027,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
3621,Astoria,Queens,11102,27 Ave & 9 St,40.7739825,-73.9309134
3492,East Harlem,Manhattan,10035,E 118 St & Park Ave,40.8005385,-73.9419949
3946,Harlem,Manhattan,10040,St Nicholas Ave & W 137 St,40.818477,-73.947568
3081,,Brooklyn,11206,Graham Ave & Grand St,40.711863,-73.944024
3738,Lower East Side,Manhattan,10002,Delancey St & Eldridge St,40.719383,-73.991479
501,Murray Hill,Manhattan,10017,FDR Drive & E 35 St,40.744219,-73.97121214
3737,Lower East Side,Manhattan,10002,Stanton St & Norfolk St,40.720747,-73.986274
4024,Harlem,Manhattan,10039,Macombs Pl & W 152 St,40.826406,-73.937948
3100,Greenpoint,Brooklyn,11222,Nassau Ave & Newell St,40.724812564400175,-73.94752621650696
443,,Brooklyn,11249,Bedford Ave & S 9 St,40.70853074,-73.96408963
302,East Village,Manhattan,10009,Avenue D & E 3 St,40.72082834,-73.97793172
3896,Ridgewood,Queens,11385,Madison St & Seneca Ave,40.70183,-73.90625
3179,,Brooklyn,11206,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
3242,Brooklyn Heights,Brooklyn,11217,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397
3363,East Harlem,Manhattan,10029,E 102 St & Park Ave,40.7904828,-73.95033068
484,Midtown East,Manhattan,10036,W 44 St & 5 Ave,40.75500254,-73.98014437
3905,Washington Square Village,Manhattan,10003,4 Ave & E 12 St,40.732647,-73.99011
258,Fort Greene,Brooklyn,11221,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
455,Turtle Bay,Manhattan,10017,1 Ave & E 44 St,40.75001986,-73.96905301
3246,Brooklyn Heights,Brooklyn,11201,Montague St & Clinton St,40.694281141397326,-73.99230033159256
3861,Bushwick,Brooklyn,11237,Menahan St & Wyckoff Ave,40.70113,-73.91422
465,Theater District,Manhattan,10036,Broadway & W 41 St,40.75513557,-73.98658032
3175,Upper West Side,Manhattan,10023,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
514,Hudson Yards,Manhattan,10003,12 Ave & W 40 St,40.76087502,-74.00277668
3263,East Village,Manhattan,,Cooper Square & Astor Pl,40.72951496224949,-73.99075269699097
3498,East Harlem,Manhattan,10035,Pleasant Ave & E 120 St,40.7974772,-73.9311847
3241,Bedford-Stuyvesant,Brooklyn,11216,Monroe St & Tompkins Ave,40.686203,-73.944694
3173,Upper West Side,Manhattan,10069,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659
3687,Kips Bay,Manhattan,10016,E 33 St & 1 Ave,40.74322681432173,-73.97449783980846
3913,,Brooklyn,11251,Sands St Gate,40.699569,-73.979827
3721,,Queens,11101,31 St & Newtown Ave,40.7675487799971,-73.9209334552288
325,Gramercy,Manhattan,10003,E 19 St & 3 Ave,40.73624527,-73.98473765
341,Lower East Side,Manhattan,10002,Stanton St & Mangin St,40.71782143,-73.97628939
164,Turtle Bay,Manhattan,10017,E 47 St & 2 Ave,40.75323098,-73.97032517
3435,Little Italy,Manhattan,10013,Grand St & Elizabeth St,40.718822,-73.99596
2012,Kips Bay,Manhattan,10010,E 27 St & 1 Ave,40.739445,-73.976806
518,Murray Hill,Manhattan,10016,E 39 St & 2 Ave,40.74780373,-73.9734419
3893,Ocean Hill,Brooklyn,11233,Rockaway Ave & Bainbridge St,40.68319988172761,-73.91166642308235
3312,Yorkville,Manhattan,10128,1 Ave & E 94 St,40.7817212,-73.94594
297,Gramercy,Manhattan,10003,E 15 St & 3 Ave,40.734232,-73.986923
4057,Washington Heights,Manhattan,10032,Amsterdam Ave & W 167 St,40.839443,-73.937044
